question,guidance,answer,reporting_unit,confidence_score,difficulty,ticker,year,type,source_pdf,chunk_id
Berapa Jumlah Aset PT BCA Sekuritas pada tahun 2021 untuk BBCA?,"Untuk menjawab pertanyaan ini, cari baris yang sesuai dengan 'PT BCA Sekuritas' dalam tabel. Kemudian, temukan nilai di kolom 'Jumlah Aset' pada baris tersebut. Pastikan untuk mencatat satuan dan mata uang yang relevan.",Jumlah Aset PT BCA Sekuritas pada tahun 2021 adalah 1.263.809 JUTAAN IDR.,JUTAAN IDR,0.98,direct_retrieval,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0002
Berapakah total gabungan Jumlah Aset PT BCA Multi Finance dan PT BCA Finance pada tahun 2021 untuk BBCA?,"Pertama, identifikasi 'Jumlah Aset' untuk 'PT BCA Multi Finance'. Kedua, identifikasi 'Jumlah Aset' untuk 'PT BCA Finance'. Ketiga, jumlahkan kedua nilai tersebut untuk mendapatkan total gabungan. Pastikan untuk menyertakan satuan dan mata uang yang benar.",Total gabungan Jumlah Aset PT BCA Multi Finance (1.253.713 JUTAAN IDR) dan PT BCA Finance (8.379.515 JUTAAN IDR) pada tahun 2021 adalah 9.633.228 JUTAAN IDR.,JUTAAN IDR,0.97,arithmetic_reasoning,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0002
"Anak perusahaan BBCA manakah yang memiliki Jumlah Aset tertinggi pada tahun 2021, dan berapa nilainya?","Untuk menjawab pertanyaan ini, periksa kolom 'Jumlah Aset' untuk setiap anak perusahaan yang terdaftar. Bandingkan semua nilai 'Jumlah Aset' untuk mengidentifikasi nilai tertinggi. Setelah nilai tertinggi ditemukan, identifikasi 'Nama' anak perusahaan yang sesuai dengan nilai tersebut. Sertakan nilai aset dan unit pelaporan.","Pada tahun 2021, PT Bank BCA Syariah memiliki Jumlah Aset tertinggi di antara anak perusahaan BBCA, dengan nilai 10.642.153 JUTAAN IDR.",JUTAAN IDR,0.96,comparative_trend,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0002
What was the type of auditor's opinion for BBCA in 2021?,"To answer this, locate the row labeled 'Jenis opini auditor' (Type of auditor's opinion) in the provided financial statement segment for BBCA in 2021 and extract the corresponding value.",Wajar Tanpa Pengecualian / Unqualified,Full Amount,0.98,direct_retrieval,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0006
How many days were in BBCA's current reporting period in 2021?,"1. Identify the 'Tanggal awal periode berjalan' (Current period start date) for BBCA in 2021, which is January 01, 2021. 2. Identify the 'Tanggal akhir periode berjalan' (Current period end date) for BBCA in 2021, which is December 31, 2021. 3. Calculate the total number of days between these two dates, inclusive.",365 days,Full Amount,0.97,arithmetic_reasoning,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0006
Did the audit signing partner for BBCA change between the prior year and the current year in 2021?,1. Locate the 'Nama partner audit tahun berjalan' (Name of current year audit signing partner) for BBCA in 2021. 2. Locate the 'Nama partner audit tahun sebelumnya' (Name of prior year audit signing partner) for BBCA in 2021. 3. Compare these two names to determine if there was any change.,"No, the audit signing partner, Jimmy Pangestu, S.E., remained the same for both the prior year and the current year for BBCA in 2021.",Full Amount,0.96,comparative_trend,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0006
Berapakah nilai Kas BBCA pada 31 Desember 2021?,"Untuk menemukan nilai Kas BBCA pada 31 Desember 2021, cari baris 'Kas' dan kolom '31 December 2021' dalam tabel laporan keuangan. Nilai yang ditemukan adalah jawabannya.","Nilai Kas BBCA pada 31 Desember 2021 adalah 23,615,635.",Full Amount,0.98,direct_retrieval,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0012
Berapakah selisih nilai Giro pada bank indonesia BBCA antara 31 Desember 2021 dan 31 Desember 2020?,"Untuk menghitung selisih nilai Giro pada bank indonesia BBCA, pertama temukan nilai 'Giro pada bank indonesia' untuk 31 Desember 2021 (65,785,161) dan untuk 31 Desember 2020 (27,482,178). Kemudian, kurangkan nilai tahun 2020 dari nilai tahun 2021 (65,785,161 - 27,482,178).","Selisih nilai Giro pada bank indonesia BBCA antara 31 Desember 2021 dan 31 Desember 2020 adalah 38,302,983.",Full Amount,0.97,arithmetic_reasoning,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0012
Apakah nilai Efek-efek yang diperdagangkan pihak ketiga BBCA mengalami peningkatan atau penurunan dari 31 Desember 2020 ke 31 Desember 2021?,"Untuk menentukan apakah nilai Efek-efek yang diperdagangkan pihak ketiga BBCA mengalami peningkatan atau penurunan, bandingkan nilai pada 31 Desember 2020 (1,856,202) dengan nilai pada 31 Desember 2021 (1,117,078). Jika nilai 2021 lebih besar dari 2020, berarti ada peningkatan; jika lebih kecil, berarti ada penurunan.","Nilai Efek-efek yang diperdagangkan pihak ketiga BBCA mengalami penurunan dari 1,856,202 pada 31 Desember 2020 menjadi 1,117,078 pada 31 Desember 2021.",Full Amount,0.96,comparative_trend,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0012
What was the value of Piutang nasabah pihak for BBCA in 2021?,"Locate the row 'Piutang nasabah pihak' in the provided context. Identify the first numerical value, 6,248,459, which corresponds to the year 2021.","6,248,459 Full Amount",Full Amount,0.97,direct_retrieval,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0013
Calculate the difference in Piutang nasabah pihak for BBCA between 2021 and the previous year.,"Identify the value for Piutang nasabah pihak in 2021 (6,248,459) and the value for the previous year (5,569,233). Subtract the previous year's value from the 2021 value: 6,248,459 - 5,569,233.","679,226 Full Amount",Full Amount,0.96,arithmetic_reasoning,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0013
Did the Piutang nasabah pihak for BBCA increase or decrease in 2021 compared to the previous year?,"Compare the value of Piutang nasabah pihak in 2021 (6,248,459) with the value from the previous year (5,569,233). Determine if the 2021 value is higher or lower than the previous year's value.",The Piutang nasabah pihak for BBCA increased in 2021 compared to the previous year.,Full Amount,0.95,comparative_trend,BBCA,2021,math,BBCA_2021_FinancialStatement_marker,BBCA_2021_FinancialStatement_marker_chk0013
What theme is mentioned for BBCA in 2021?,Locate the heading or phrase that describes a central theme for BBCA in the provided text for 2021.,The theme mentioned for BBCA in 2021 is 'Keberlanjutan Tema' (Sustainability Theme).,N/A,0.98,fact_extraction,BBCA,2021,text,BCA-Annual-Report-2021_marker,BBCA_2021_BCA_Annual_Report_2021_marker_chk0001
How is public adoption described for BBCA in 2021?,Identify the phrases in the text that describe the level and trend of public adoption related to BBCA in 2021 and synthesize them into a concise explanation.,"For BBCA in 2021, public adoption is described as 'tinggi' (high) and 'semakin tinggi' (getting higher).",N/A,0.97,summarization,BBCA,2021,text,BCA-Annual-Report-2021_marker,BBCA_2021_BCA_Annual_Report_2021_marker_chk0001
"Based on the text, what is implied about BBCA's actions or strategy in response to the increasing public adoption in 2021?","Analyze the phrase 'adopsi masyarakat yang tinggi semakin tinggi. Oleh karena itu, BCA' to understand the relationship between public adoption and BBCA's subsequent actions or strategy in 2021, even if the specific action is not detailed.","The text states 'adopsi masyarakat yang tinggi semakin tinggi. Oleh karena itu, BCA', which implies that BBCA is taking specific actions or formulating a strategy as a direct consequence of the high and increasing public adoption in 2021, although the exact nature of these actions is not detailed in this segment.",N/A,0.95,logical_inference,BBCA,2021,text,BCA-Annual-Report-2021_marker,BBCA_2021_BCA_Annual_Report_2021_marker_chk0001
What did BBCA promote for the future in 2021?,Locate the sentence in the text that describes what BBCA promoted for the future in 2021 and extract the specific phrase.,"Di tahun 2021, BBCA mempromosikan ""Banking from Home"" untuk masa depan.",N/A,0.98,fact_extraction,BBCA,2021,text,BCA-Annual-Report-2021_marker,BBCA_2021_BCA_Annual_Report_2021_marker_chk0002
How does the text describe the economic situation in 2021?,Identify the sentence that discusses the economic activities in 2021 and summarize its key point regarding the state of the economy.,"Teks tersebut menyatakan bahwa di tahun 2021, aktivitas perekonomian menunjukkan perbaikan setelah awal pandemi.",N/A,0.97,summarization,BBCA,2021,text,BCA-Annual-Report-2021_marker,BBCA_2021_BCA_Annual_Report_2021_marker_chk0002
"Based on the text, what is the implied relationship between the economic recovery and BBCA's promotion of 'Banking from Home' in 2021?",Analyze the phrase 'Sejalan dengan hal tersebut' which connects the improvement in economic activity with BBCA's promotion of 'Banking from Home'. Infer the logical connection between these two statements and the implication for BBCA's strategy.,"Berdasarkan teks, promosi 'Banking from Home' oleh BBCA di tahun 2021 adalah sejalan dengan perbaikan aktivitas perekonomian yang terjadi setelah awal pandemi. Ini menyiratkan bahwa BBCA melihat 'Banking from Home' sebagai strategi yang relevan dan berkelanjutan untuk masa depan, bahkan saat ekonomi mulai pulih.",N/A,0.95,logical_inference,BBCA,2021,text,BCA-Annual-Report-2021_marker,BBCA_2021_BCA_Annual_Report_2021_marker_chk0002
Berapakah Jumlah Aset PT Bank BRISyariah pada tahun 2021?,"Untuk menemukan Jumlah Aset PT Bank BRISyariah pada tahun 2021, cari baris yang sesuai dengan ""PT Bank BRISyariah"" di kolom ""Nama"". Kemudian, ambil nilai yang tertera di kolom ""Jumlah Aset"" pada baris tersebut.",43.165.484 JUTAAN IDR,JUTAAN IDR,0.98,direct_retrieval,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0002
Hitunglah total Jumlah Aset gabungan dari PT BRI Multifinance dan PT BRI Ventura Investama pada tahun 2021.,"Pertama, temukan nilai ""Jumlah Aset"" untuk ""PT BRI Multifinance"" dan ""PT BRI Ventura Investama"" dari kolom ""Jumlah Aset"". Kedua, jumlahkan kedua nilai tersebut (4.616.468 + 1.514.486) untuk mendapatkan total gabungan.",6.130.954 JUTAAN IDR,JUTAAN IDR,0.97,arithmetic_reasoning,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0002
"Pada tahun 2021, entitas mana yang memiliki persentase kepemilikan lebih tinggi antara BRI Remittance Co.Limited (Ltd) Hong Kong dan PT Danareksa Sekuritas?","Cari baris untuk ""BRI Remittance Co.Limited (Ltd) Hong Kong"" dan ""PT Danareksa Sekuritas"". Bandingkan nilai di kolom ""Persentase (%)"" untuk kedua entitas tersebut (100.0% vs 67.0%) untuk menentukan mana yang lebih tinggi.","Pada tahun 2021, BRI Remittance Co.Limited (Ltd) Hong Kong memiliki persentase kepemilikan yang lebih tinggi (100.0%) dibandingkan dengan PT Danareksa Sekuritas (67.0%).",JUTAAN IDR,0.96,comparative_trend,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0002
What was the type of auditor's opinion for BBRI in 2021?,"To answer this, locate the row labeled 'Jenis opini auditor' (Type of auditor's opinion) in the provided financial statement segment for BBRI in 2021 and extract the corresponding value.",Wajar Tanpa Pengecualian / Unqualified,Full Amount,0.98,direct_retrieval,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0006
How many days were in BBRI's current reporting period for 2021?,"1. Identify the 'Tanggal awal periode berjalan' (Current period start date) for BBRI in 2021, which is January 01, 2021. 2. Identify the 'Tanggal akhir periode berjalan' (Current period end date) for BBRI in 2021, which is December 31, 2021. 3. Calculate the total number of days between these two dates, inclusive.",365 days,Full Amount,0.97,arithmetic_reasoning,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0006
